Toss,Bat,Venue,RelativeRunsPerInn,RelativeAve,RelativeSR,RelAvgEcon,RelBowlAvAverage,RelAvgWkPerInn,RelBowlAvgSR,RelAvgCatch,RelAvg100,Rel4WkHauls,RelBatAvg,Result
0,2,0,0.15004462,0.086,4.68090909,1.245555555,3.68232143,-0.022894466,2.25535714,-0.065335069,0.013916278,-14,0.01067918,0
1,2,0,2.3489728,2.47163636,8.89363636,1.261111111,3.90053571,-0.089504276,2.23035714,-0.093305377,0.017315041,-7,1.05366895,1
1,2,0,0.27854715,0.51363637,8.57181818,1.287777778,-8.74232143,0.106049355,-13.60714286,-0.053126897,0.002396639,-5,0.15009353,1
1,2,0,-0.05609719,0.41272728,6.17909091,1.46,-4.74214286,-0.014767206,-10.65178571,0.038884706,0.001384517,-13,0.102396777,1
0,1,0,-1.60321996,-1.43181819,8.60181818,1.528888889,0.64464286,0.024428309,-5.28214286,-0.00477347,-0.004906392,-5,-0.365957753,1
1,2,0,-3.30165114,-5.30444445,-7.99722222,0.416805556,-2.99214286,-0.116775274,-5.11071429,-0.04347954,0.004778493,6,-0.02622675,1
0,2,1,-1.02090232,-0.16181818,-1.77363636,0.469888889,-6.21444444,-0.129673743,-8.86666667,0.012920973,0.006423982,5,-0.43957823,1
1,1,1,3.53078282,4.03654545,8.87,0.677666667,3.05291667,0.067034437,-3.22916667,-0.065647566,0.010507385,1,1.15062192,0
1,1,1,-2.2505677,1.70818181,-3.50636364,0.250333333,-6.35055556,-0.00037729,-8.04,0.026024891,0.000834225,6,-0.5892885,1
0,2,1,0.46084258,4.83545455,3.85090909,0.462444444,-10.62111111,-0.031606034,-13.97777778,5.096879607,-0.001243351,1,0.7344083,0
0,2,1,3.18801459,5.84936364,5.33272727,1.073444444,14.23958333,-0.187213161,12.02777778,-0.010671157,0.006728107,-4,0.14625508,1
1,1,1,1.44302124,3.56636364,6.16181818,1.133,-12.16708333,-0.124418226,-13.41527778,0.041198379,0.006020464,-18,1.01722211,0
0,1,1,1.44340048,4.03918182,10.71,1.172111111,-3.30625,-0.138875456,-6,0.022590662,0.006357314,3,0.4311416,1
0,2,1,3.03085193,5.30363636,8.28636364,0.866590909,8.73380953,-0.27884714,7.75714286,0.008224618,0.002646339,-6,1.61178616,0
0,2,1,3.03085193,5.30363636,8.28636364,0.866590909,8.73380953,-0.27884714,7.75714286,0.008224618,0.002646339,-6,,0
